pillar,occupation,n_skills,n_groups,exposure,pct_2023,pct_2026,change_pp
obtaining information verbally,Human Resources Managers,41,3,0.418,16.95,16.51,-0.44
obtaining information verbally,Financial Managers,41,3,0.418,12.62,16.04,3.42
"organising, planning and scheduling work and activities",All,247,3,0.483,22.19,25.96,3.77
"organising, planning and scheduling work and activities",Marketing Managers,247,3,0.483,27.9,30.14,2.24
"organising, planning and scheduling work and activities",Human Resources Managers,247,3,0.483,16.33,21.77,5.44
"organising, planning and scheduling work and activities",Financial Managers,247,3,0.483,16.21,19.49,3.28
performing administrative activities,All,60,4,0.546,9.86,10.68,0.82
performing administrative activities,Marketing Managers,60,4,0.546,5.42,6.78,1.36
performing administrative activities,Human Resources Managers,60,4,0.546,4.34,6.03,1.69
performing administrative activities,Financial Managers,60,4,0.546,18.82,20.72,1.9
performing and entertaining,All,68,3,0.448,4.23,5.92,1.69
performing and entertaining,Marketing Managers,68,3,0.448,5.37,7.61,2.24
performing and entertaining,Human Resources Managers,68,3,0.448,3.81,3.5,-0.31
performing and entertaining,Financial Managers,68,3,0.448,2.7,3.65,0.95
personal skills and development,All,7,1,0.221,10.62,10.95,0.33
personal skills and development,Marketing Managers,7,1,0.221,11.27,10.57,-0.7
personal skills and development,Human Resources Managers,7,1,0.221,14.04,13.49,-0.55
personal skills and development,Financial Managers,7,1,0.221,8.21,10.55,2.34
physical sciences,All,58,3,0.511,1.8,3.02,1.22
physical sciences,Marketing Managers,58,3,0.511,1.84,3.03,1.19
physical sciences,Human Resources Managers,58,3,0.511,2.09,2.64,0.55
physical sciences,Financial Managers,58,3,0.511,1.62,3.19,1.57
presenting information,All,42,4,0.538,9.71,9.83,0.12
presenting information,Marketing Managers,42,4,0.538,8.86,8.37,-0.49
presenting information,Human Resources Managers,42,4,0.538,6.79,5.86,-0.93
presenting information,Financial Managers,42,4,0.538,12.22,14.65,2.43
processing information,All,56,3,0.627,6.99,7.09,0.1
processing information,Marketing Managers,56,3,0.627,6.4,8.42,2.02
processing information,Human Resources Managers,56,3,0.627,5.4,4.35,-1.05
processing information,Financial Managers,56,3,0.627,8.54,5.68,-2.86
"promoting, selling and purchasing",All,154,4,0.482,20.9,21.49,0.59
"promoting, selling and purchasing",Marketing Managers,154,4,0.482,31.04,27.76,-3.28
"promoting, selling and purchasing",Human Resources Managers,154,4,0.482,7.16,9.77,2.61
"promoting, selling and purchasing",Financial Managers,154,4,0.482,11.69,14.33,2.64
protecting and enforcing,All,256,7,0.484,21.36,23.87,2.51
protecting and enforcing,Marketing Managers,256,7,0.484,14.92,19.8,4.88
protecting and enforcing,Human Resources Managers,256,7,0.484,27.96,34.46,6.5
protecting and enforcing,Financial Managers,256,7,0.484,28.13,27.11,-1.02
providing general personal care,All,29,5,0.414,1.18,1.28,0.1
providing general personal care,Marketing Managers,29,5,0.414,1.09,1.2,0.11
providing general personal care,Human Resources Managers,29,5,0.414,2.05,2.39,0.34
providing general personal care,Financial Managers,29,5,0.414,0.94,0.92,-0.02
providing health care or medical treatments,All,55,7,0.462,1.63,2.66,1.03
providing health care or medical treatments,Marketing Managers,55,7,0.462,1.85,3.12,1.27
providing health care or medical treatments,Human Resources Managers,55,7,0.462,1.76,2.44,0.68
providing health care or medical treatments,Financial Managers,55,7,0.462,1.25,1.83,0.58
providing information and support to the public and clients,All,81,5,0.472,14.93,14.91,-0.02
providing information and support to the public and clients,Marketing Managers,81,5,0.472,15.98,15.66,-0.32
providing information and support to the public and clients,Human Resources Managers,81,5,0.472,14.45,9.14,-5.31
providing information and support to the public and clients,Financial Managers,81,5,0.472,13.56,16.09,2.53
recruiting and hiring,All,16,1,0.422,13.74,14.1,0.36
recruiting and hiring,Marketing Managers,16,1,0.422,7.07,8.15,1.08
