group,occupation,n_skills,exposure,pct_2023,pct_2026,change_pp
marketing and advertising,Human Resources Managers,44,0.5,11.79,15.59,3.8
marketing and advertising,Financial Managers,44,0.5,17.93,13.85,-4.08
mathematics,All,11,0.547,2.02,1.63,-0.39
mathematics,Marketing Managers,11,0.547,1.47,1.54,0.07
mathematics,Human Resources Managers,11,0.547,0.25,1.27,1.02
mathematics,Financial Managers,11,0.547,3.59,1.98,-1.61
mechanics and metal trades,All,32,0.5,0.54,1.1,0.56
mechanics and metal trades,Marketing Managers,32,0.5,0.56,1.64,1.08
mechanics and metal trades,Human Resources Managers,32,0.5,1.23,0.26,-0.97
mechanics and metal trades,Financial Managers,32,0.5,0.23,0.4,0.17
mediating and resolving disputes,All,15,0.457,3.73,3.17,-0.56
mediating and resolving disputes,Marketing Managers,15,0.457,3.21,2.73,-0.48
mediating and resolving disputes,Human Resources Managers,15,0.457,5.53,4.35,-1.18
mediating and resolving disputes,Financial Managers,15,0.457,3.73,3.51,-0.22
medical diagnostic and treatment technology,All,32,0.52,1.62,1.32,-0.3
medical diagnostic and treatment technology,Marketing Managers,32,0.52,1.41,1.25,-0.16
medical diagnostic and treatment technology,Human Resources Managers,32,0.52,1.92,1.15,-0.77
medical diagnostic and treatment technology,Financial Managers,32,0.52,1.8,1.55,-0.25
medicine,All,76,0.498,2.05,2.8,0.75
medicine,Marketing Managers,76,0.498,2.76,3.49,0.73
medicine,Human Resources Managers,76,0.498,2.37,2.49,0.12
medicine,Financial Managers,76,0.498,0.85,1.57,0.72
meet commitments,All,4,0.5,1.63,3.27,1.64
meet commitments,Marketing Managers,4,0.5,1.21,2.19,0.98
meet commitments,Human Resources Managers,4,0.5,2.74,5.72,2.98
meet commitments,Financial Managers,4,0.5,1.78,4.29,2.51
meet deadlines and follow schedules,All,9,0.572,3.64,4.18,0.54
